Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,6.40728E-09,7.30000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
3,-1.00000E+02,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
4,0.00000E+00,-2.00000E+02,0.00000E+00,1.83027E-11,9.05000E-02
5,1.00000E+02,-2.00000E+02,0.00000E+00,3.46498E-10,3.21000E-02
6,2.00000E+02,-2.00000E+02,0.00000E+00,1.19253E-11,9.58000E-02
7,-2.00000E+02,-1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
8,-1.00000E+02,-1.00000E+02,0.00000E+00,2.62618E-11,6.75000E-02
9,0.00000E+00,-1.00000E+02,0.00000E+00,8.85358E-10,2.14000E-02
10,1.00000E+02,-1.00000E+02,0.00000E+00,1.28273E-09,1.75000E-02
11,2.00000E+02,-1.00000E+02,0.00000E+00,3.51153E-11,7.03000E-02
12,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.68289E-10,2.55000E-02
14,1.00000E+02,0.00000E+00,0.00000E+00,3.59560E-09,9.50000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,1.37047E-11,7.28000E-02
16,-2.00000E+02,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
17,-1.00000E+02,1.00000E+02,0.00000E+00,9.64738E-12,7.98000E-02
18,0.00000E+00,1.00000E+02,0.00000E+00,3.04013E-09,9.60000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,3.70496E-09,9.70000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,8.72097E-11,5.03000E-02
21,-2.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
22,-1.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
23,0.00000E+00,2.00000E+02,0.00000E+00,2.21518E-10,3.52000E-02
24,1.00000E+02,2.00000E+02,0.00000E+00,5.96949E-10,2.36000E-02
25,2.00000E+02,2.00000E+02,0.00000E+00,6.76864E-10,2.22000E-02
26,-7.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
27,-6.00000E+02,-7.00000E+02,0.00000E+00,2.72783E-12,2.21100E-01
28,-5.00000E+02,-7.00000E+02,0.00000E+00,8.27326E-11,4.50000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,1.23028E-10,4.22000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,5.03937E-12,1.42800E-01
31,-7.00000E+02,-6.00000E+02,0.00000E+00,3.56610E-11,8.11000E-02
32,-6.00000E+02,-6.00000E+02,0.00000E+00,7.19017E-09,7.00000E-03
33,-5.00000E+02,-6.00000E+02,0.00000E+00,1.96234E-08,4.40000E-03
34,-4.00000E+02,-6.00000E+02,0.00000E+00,1.54356E-08,5.00000E-03
35,-3.00000E+02,-6.00000E+02,0.00000E+00,1.97074E-10,3.23000E-02
36,-7.00000E+02,-5.00000E+02,0.00000E+00,6.79488E-11,5.51000E-02
37,-6.00000E+02,-5.00000E+02,0.00000E+00,1.68276E-08,4.50000E-03
38,-5.00000E+02,-5.00000E+02,0.00000E+00,2.69531E-08,3.60000E-03
39,-4.00000E+02,-5.00000E+02,0.00000E+00,7.23940E-09,6.70000E-03
40,-3.00000E+02,-5.00000E+02,0.00000E+00,3.94357E-11,7.52000E-02
41,-7.00000E+02,-4.00000E+02,0.00000E+00,9.53629E-12,1.17400E-01
