Cell Number,X,Y,Z,Cell Flux,Standard Deviation
64,1.00000E+02,-5.00000E+02,0.00000E+00,4.29561E-08,3.00000E-04
65,2.00000E+02,-5.00000E+02,0.00000E+00,2.01096E-10,6.90000E-03
66,-2.00000E+02,-4.00000E+02,0.00000E+00,1.02702E-10,9.70000E-03
67,-1.00000E+02,-4.00000E+02,0.00000E+00,1.75454E-08,5.00000E-04
68,0.00000E+00,-4.00000E+02,0.00000E+00,4.41811E-08,3.00000E-04
69,1.00000E+02,-4.00000E+02,0.00000E+00,1.63123E-08,5.00000E-04
70,2.00000E+02,-4.00000E+02,0.00000E+00,9.60871E-11,1.00000E-02
71,-2.00000E+02,-3.00000E+02,0.00000E+00,5.67810E-11,1.30000E-02
72,-1.00000E+02,-3.00000E+02,0.00000E+00,2.86050E-10,5.80000E-03
73,0.00000E+00,-3.00000E+02,0.00000E+00,4.65190E-10,4.60000E-03
74,1.00000E+02,-3.00000E+02,0.00000E+00,2.57498E-10,6.10000E-03
75,2.00000E+02,-3.00000E+02,0.00000E+00,7.04729E-11,1.17000E-02
76,3.00000E+02,-7.00000E+02,0.00000E+00,3.34834E-12,4.71000E-02
77,4.00000E+02,-7.00000E+02,0.00000E+00,2.12029E-10,6.80000E-03
78,5.00000E+02,-7.00000E+02,0.00000E+00,3.84003E-10,5.00000E-03
79,6.00000E+02,-7.00000E+02,0.00000E+00,2.03718E-10,6.90000E-03
80,7.00000E+02,-7.00000E+02,0.00000E+00,3.52599E-12,4.75000E-02
81,3.00000E+02,-6.00000E+02,0.00000E+00,2.13026E-10,6.70000E-03
82,4.00000E+02,-6.00000E+02,0.00000E+00,1.58986E-08,7.00000E-04
83,5.00000E+02,-6.00000E+02,0.00000E+00,2.96131E-08,5.00000E-04
84,6.00000E+02,-6.00000E+02,0.00000E+00,1.57068E-08,7.00000E-04
85,7.00000E+02,-6.00000E+02,0.00000E+00,2.22733E-10,6.60000E-03
86,3.00000E+02,-5.00000E+02,0.00000E+00,3.80609E-10,5.00000E-03
87,4.00000E+02,-5.00000E+02,0.00000E+00,2.90618E-08,5.00000E-04
88,5.00000E+02,-5.00000E+02,0.00000E+00,5.68734E-08,4.00000E-04
89,6.00000E+02,-5.00000E+02,0.00000E+00,3.07487E-08,5.00000E-04
90,7.00000E+02,-5.00000E+02,0.00000E+00,3.95160E-10,4.90000E-03
91,3.00000E+02,-4.00000E+02,0.00000E+00,1.99539E-10,7.00000E-03
