Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,7.62353E-08,4.00000E-04
2,-2.00000E+02,-2.00000E+02,0.00000E+00,5.35332E-09,1.50000E-03
3,-1.00000E+02,-2.00000E+02,0.00000E+00,1.49695E-08,9.00000E-04
4,0.00000E+00,-2.00000E+02,0.00000E+00,1.92212E-08,8.00000E-04
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.54290E-08,9.00000E-04
6,2.00000E+02,-2.00000E+02,0.00000E+00,5.15140E-09,1.50000E-03
7,-2.00000E+02,-1.00000E+02,0.00000E+00,1.44738E-08,9.00000E-04
8,-1.00000E+02,-1.00000E+02,0.00000E+00,4.09075E-08,5.00000E-04
9,0.00000E+00,-1.00000E+02,0.00000E+00,5.71843E-08,4.00000E-04
10,1.00000E+02,-1.00000E+02,0.00000E+00,4.35149E-08,5.00000E-04
11,2.00000E+02,-1.00000E+02,0.00000E+00,1.42966E-08,9.00000E-04
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.80345E-08,8.00000E-04
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.31038E-08,5.00000E-04
14,1.00000E+02,0.00000E+00,0.00000E+00,5.63957E-08,4.00000E-04
15,2.00000E+02,0.00000E+00,0.00000E+00,1.86338E-08,8.00000E-04
16,-2.00000E+02,1.00000E+02,0.00000E+00,1.31096E-08,9.00000E-04
17,-1.00000E+02,1.00000E+02,0.00000E+00,3.74279E-08,5.00000E-04
18,0.00000E+00,1.00000E+02,0.00000E+00,5.24648E-08,5.00000E-04
19,1.00000E+02,1.00000E+02,0.00000E+00,3.87366E-08,5.00000E-04
20,2.00000E+02,1.00000E+02,0.00000E+00,1.39988E-08,9.00000E-04
21,-2.00000E+02,2.00000E+02,0.00000E+00,4.47602E-09,1.60000E-03
22,-1.00000E+02,2.00000E+02,0.00000E+00,1.29621E-08,9.00000E-04
23,0.00000E+00,2.00000E+02,0.00000E+00,1.67726E-08,8.00000E-04
24,1.00000E+02,2.00000E+02,0.00000E+00,1.25704E-08,9.00000E-04
25,2.00000E+02,2.00000E+02,0.00000E+00,4.86001E-09,1.50000E-03
26,-7.00000E+02,-7.00000E+02,0.00000E+00,5.14039E-12,4.70000E-02
27,-6.00000E+02,-7.00000E+02,0.00000E+00,2.87745E-10,6.70000E-03
28,-5.00000E+02,-7.00000E+02,0.00000E+00,5.05513E-10,5.00000E-03
29,-4.00000E+02,-7.00000E+02,0.00000E+00,2.54092E-10,7.20000E-03
30,-3.00000E+02,-7.00000E+02,0.00000E+00,4.05607E-12,5.45000E-02
31,-7.00000E+02,-6.00000E+02,0.00000E+00,2.81244E-10,6.80000E-03
32,-6.00000E+02,-6.00000E+02,0.00000E+00,2.12506E-08,7.00000E-04
33,-5.00000E+02,-6.00000E+02,0.00000E+00,3.82336E-08,5.00000E-04
34,-4.00000E+02,-6.00000E+02,0.00000E+00,1.92434E-08,8.00000E-04
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.38164E-10,7.40000E-03
