Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.80907E-08,1.20000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,2.41420E-10,9.50000E-03
3,-1.00000E+02,-2.00000E+02,0.00000E+00,2.34908E-09,3.30000E-03
4,0.00000E+00,-2.00000E+02,0.00000E+00,4.70211E-09,2.30000E-03
5,1.00000E+02,-2.00000E+02,0.00000E+00,6.47293E-09,2.00000E-03
6,2.00000E+02,-2.00000E+02,0.00000E+00,2.13496E-09,3.60000E-03
7,-2.00000E+02,-1.00000E+02,0.00000E+00,9.27913E-10,5.20000E-03
8,-1.00000E+02,-1.00000E+02,0.00000E+00,7.32042E-09,1.90000E-03
9,0.00000E+00,-1.00000E+02,0.00000E+00,1.44386E-08,1.30000E-03
10,1.00000E+02,-1.00000E+02,0.00000E+00,1.24516E-08,1.40000E-03
11,2.00000E+02,-1.00000E+02,0.00000E+00,4.26382E-09,2.50000E-03
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.65549E-09,4.00000E-03
13,-1.00000E+02,0.00000E+00,0.00000E+00,1.14217E-08,1.50000E-03
14,1.00000E+02,0.00000E+00,0.00000E+00,1.25020E-08,1.40000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,2.14991E-09,3.40000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,1.53880E-09,4.10000E-03
17,-1.00000E+02,1.00000E+02,0.00000E+00,8.18693E-09,1.80000E-03
18,0.00000E+00,1.00000E+02,0.00000E+00,1.65652E-08,1.30000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,9.42617E-09,1.70000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,1.92366E-09,3.70000E-03
21,-2.00000E+02,2.00000E+02,0.00000E+00,1.09857E-09,5.00000E-03
22,-1.00000E+02,2.00000E+02,0.00000E+00,2.52134E-09,3.30000E-03
23,0.00000E+00,2.00000E+02,0.00000E+00,5.27304E-09,2.20000E-03
24,1.00000E+02,2.00000E+02,0.00000E+00,3.26571E-09,2.70000E-03
25,2.00000E+02,2.00000E+02,0.00000E+00,1.48138E-09,4.10000E-03
26,-7.00000E+02,-7.00000E+02,0.00000E+00,3.64332E-15,1.00000E+00
27,-6.00000E+02,-7.00000E+02,0.00000E+00,1.35449E-12,9.80000E-02
28,-5.00000E+02,-7.00000E+02,0.00000E+00,9.26413E-12,3.97000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,8.68082E-12,4.23000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,2.13469E-13,1.75500E-01
31,-7.00000E+02,-6.00000E+02,0.00000E+00,9.18449E-12,3.91000E-02
32,-6.00000E+02,-6.00000E+02,0.00000E+00,7.55622E-10,5.70000E-03
33,-5.00000E+02,-6.00000E+02,0.00000E+00,2.36195E-09,3.30000E-03
34,-4.00000E+02,-6.00000E+02,0.00000E+00,1.21116E-09,4.70000E-03
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.03327E-11,2.78000E-02
36,-7.00000E+02,-5.00000E+02,0.00000E+00,2.24960E-11,2.54000E-02
37,-6.00000E+02,-5.00000E+02,0.00000E+00,2.85927E-09,3.00000E-03
38,-5.00000E+02,-5.00000E+02,0.00000E+00,5.52047E-09,2.20000E-03
39,-4.00000E+02,-5.00000E+02,0.00000E+00,1.40321E-09,4.20000E-03
40,-3.00000E+02,-5.00000E+02,0.00000E+00,7.99981E-12,4.06000E-02
41,-7.00000E+02,-4.00000E+02,0.00000E+00,8.62354E-12,4.07000E-02
42,-6.00000E+02,-4.00000E+02,0.00000E+00,7.68805E-10,5.60000E-03
43,-5.00000E+02,-4.00000E+02,0.00000E+00,1.59061E-09,3.90000E-03
44,-4.00000E+02,-4.00000E+02,0.00000E+00,7.21544E-10,6.00000E-03
45,-3.00000E+02,-4.00000E+02,0.00000E+00,3.21702E-12,7.50000E-02
46,-7.00000E+02,-3.00000E+02,0.00000E+00,3.19423E-14,3.64600E-01
47,-6.00000E+02,-3.00000E+02,0.00000E+00,7.29178E-13,1.18200E-01
48,-5.00000E+02,-3.00000E+02,0.00000E+00,8.40866E-12,4.27000E-02
49,-4.00000E+02,-3.00000E+02,0.00000E+00,4.44390E-12,5.78000E-02
50,-3.00000E+02,-3.00000E+02,0.00000E+00,9.46540E-14,2.55800E-01
51,-2.00000E+02,-7.00000E+02,0.00000E+00,3.64898E-14,3.82300E-01
52,-1.00000E+02,-7.00000E+02,0.00000E+00,8.38409E-12,3.92000E-02
53,0.00000E+00,-7.00000E+02,0.00000E+00,1.26697E-11,3.39000E-02
54,1.00000E+02,-7.00000E+02,0.00000E+00,2.38533E-12,7.42000E-02
55,2.00000E+02,-7.00000E+02,0.00000E+00,7.82053E-15,5.03500E-01
56,-2.00000E+02,-6.00000E+02,0.00000E+00,1.22727E-11,3.52000E-02
57,-1.00000E+02,-6.00000E+02,0.00000E+00,4.26392E-09,1.80000E-03
58,0.00000E+00,-6.00000E+02,0.00000E+00,6.25050E-09,1.50000E-03
59,1.00000E+02,-6.00000E+02,0.00000E+00,1.74882E-09,2.90000E-03
60,2.00000E+02,-6.00000E+02,0.00000E+00,5.12745E-12,6.03000E-02
61,-2.00000E+02,-5.00000E+02,0.00000E+00,3.13166E-11,2.25000E-02
62,-1.00000E+02,-5.00000E+02,0.00000E+00,8.65006E-09,1.30000E-03
63,0.00000E+00,-5.00000E+02,0.00000E+00,1.23151E-08,1.10000E-03
64,1.00000E+02,-5.00000E+02,0.00000E+00,1.24429E-09,3.20000E-03
65,2.00000E+02,-5.00000E+02,0.00000E+00,2.00079E-13,2.00400E-01
66,-2.00000E+02,-4.00000E+02,0.00000E+00,4.09714E-13,1.33400E-01
67,-1.00000E+02,-4.00000E+02,0.00000E+00,1.04063E-09,3.70000E-03
68,0.00000E+00,-4.00000E+02,0.00000E+00,1.67775E-09,2.80000E-03
69,1.00000E+02,-4.00000E+02,0.00000E+00,8.44291E-10,4.10000E-03
70,2.00000E+02,-4.00000E+02,0.00000E+00,1.55818E-14,5.10600E-01
71,-2.00000E+02,-3.00000E+02,0.00000E+00,1.07163E-12,1.31100E-01
72,-1.00000E+02,-3.00000E+02,0.00000E+00,9.99250E-12,3.73000E-02
73,0.00000E+00,-3.00000E+02,0.00000E+00,2.57229E-11,2.37000E-02
74,1.00000E+02,-3.00000E+02,0.00000E+00,4.34363E-11,1.83000E-02
75,2.00000E+02,-3.00000E+02,0.00000E+00,1.47137E-11,3.08000E-02
76,3.00000E+02,-7.00000E+02,0.00000E+00,2.46644E-14,6.23300E-01
77,4.00000E+02,-7.00000E+02,0.00000E+00,8.41583E-12,3.97000E-02
78,5.00000E+02,-7.00000E+02,0.00000E+00,1.53996E-11,2.95000E-02
79,6.00000E+02,-7.00000E+02,0.00000E+00,1.05996E-11,4.08000E-02
80,7.00000E+02,-7.00000E+02,0.00000E+00,9.31800E-14,2.68500E-01
81,3.00000E+02,-6.00000E+02,0.00000E+00,1.24273E-11,3.16000E-02
82,4.00000E+02,-6.00000E+02,0.00000E+00,3.03997E-09,2.90000E-03
83,5.00000E+02,-6.00000E+02,0.00000E+00,2.61731E-09,3.00000E-03
84,6.00000E+02,-6.00000E+02,0.00000E+00,1.92725E-09,3.70000E-03
85,7.00000E+02,-6.00000E+02,0.00000E+00,1.59053E-11,3.07000E-02
86,3.00000E+02,-5.00000E+02,0.00000E+00,4.28784E-11,1.89000E-02
87,4.00000E+02,-5.00000E+02,0.00000E+00,5.80925E-09,2.10000E-03
88,5.00000E+02,-5.00000E+02,0.00000E+00,9.44349E-09,1.70000E-03
89,6.00000E+02,-5.00000E+02,0.00000E+00,5.81192E-09,2.10000E-03
90,7.00000E+02,-5.00000E+02,0.00000E+00,4.18319E-11,1.89000E-02
91,3.00000E+02,-4.00000E+02,0.00000E+00,2.03413E-11,2.70000E-02
92,4.00000E+02,-4.00000E+02,0.00000E+00,4.48247E-09,2.40000E-03
93,5.00000E+02,-4.00000E+02,0.00000E+00,9.47375E-09,1.70000E-03
94,6.00000E+02,-4.00000E+02,0.00000E+00,4.34608E-09,2.50000E-03
95,7.00000E+02,-4.00000E+02,0.00000E+00,1.99066E-11,2.70000E-02
96,3.00000E+02,-3.00000E+02,0.00000E+00,3.84192E-13,1.33000E-01
97,4.00000E+02,-3.00000E+02,0.00000E+00,2.15600E-11,2.53000E-02
98,5.00000E+02,-3.00000E+02,0.00000E+00,6.74103E-11,1.52000E-02
99,6.00000E+02,-3.00000E+02,0.00000E+00,1.62909E-11,2.83000E-02
100,7.00000E+02,-3.00000E+02,0.00000E+00,1.02090E-13,2.71700E-01
101,-7.00000E+02,-2.00000E+02,0.00000E+00,9.87760E-14,2.34100E-01
102,-6.00000E+02,-2.00000E+02,0.00000E+00,2.34372E-11,2.63000E-02
