Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.13932E-07,1.70000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,4.31482E-10,2.80000E-02
3,-1.00000E+02,-2.00000E+02,0.00000E+00,2.21696E-09,1.21000E-02
4,0.00000E+00,-2.00000E+02,0.00000E+00,3.35059E-09,1.00000E-02
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.99792E-09,1.29000E-02
6,2.00000E+02,-2.00000E+02,0.00000E+00,3.50881E-10,3.06000E-02
7,-2.00000E+02,-1.00000E+02,0.00000E+00,1.63734E-09,1.38000E-02
8,-1.00000E+02,-1.00000E+02,0.00000E+00,2.46466E-08,3.70000E-03
9,0.00000E+00,-1.00000E+02,0.00000E+00,4.66679E-08,2.70000E-03
10,1.00000E+02,-1.00000E+02,0.00000E+00,2.47913E-08,3.70000E-03
11,2.00000E+02,-1.00000E+02,0.00000E+00,2.79151E-09,1.10000E-02
12,-2.00000E+02,0.00000E+00,0.00000E+00,4.52258E-09,8.60000E-03
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.45252E-08,2.50000E-03
14,1.00000E+02,0.00000E+00,0.00000E+00,4.83939E-08,2.60000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,6.75013E-09,7.10000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,3.61975E-09,9.60000E-03
17,-1.00000E+02,1.00000E+02,0.00000E+00,2.32256E-08,3.80000E-03
18,0.00000E+00,1.00000E+02,0.00000E+00,3.88439E-08,2.90000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,1.83126E-08,4.30000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,3.19939E-09,1.02000E-02
21,-2.00000E+02,2.00000E+02,0.00000E+00,1.11957E-09,1.73000E-02
22,-1.00000E+02,2.00000E+02,0.00000E+00,3.10987E-09,1.04000E-02
23,0.00000E+00,2.00000E+02,0.00000E+00,5.42527E-09,7.90000E-03
24,1.00000E+02,2.00000E+02,0.00000E+00,1.69518E-09,1.37000E-02
25,2.00000E+02,2.00000E+02,0.00000E+00,4.24642E-10,2.79000E-02
26,-7.00000E+02,-7.00000E+02,0.00000E+00,1.99053E-12,3.41300E-01
27,-6.00000E+02,-7.00000E+02,0.00000E+00,1.47983E-10,5.32000E-02
28,-5.00000E+02,-7.00000E+02,0.00000E+00,3.28667E-10,3.41000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,1.52312E-10,5.10000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,8.94244E-13,5.38500E-01
31,-7.00000E+02,-6.00000E+02,0.00000E+00,2.36448E-10,4.09000E-02
