Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.95468E-13,5.01200E-01
2,-2.00000E+02,-2.00000E+02,0.00000E+00,9.77004E-13,2.95700E-01
3,-1.00000E+02,-2.00000E+02,0.00000E+00,6.25560E-16,1.00000E+00
4,0.00000E+00,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
5,1.00000E+02,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
6,2.00000E+02,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
7,-2.00000E+02,-1.00000E+02,0.00000E+00,1.03001E-10,6.82000E-02
8,-1.00000E+02,-1.00000E+02,0.00000E+00,1.62362E-09,2.61000E-02
9,0.00000E+00,-1.00000E+02,0.00000E+00,3.46010E-13,3.07000E-01
10,1.00000E+02,-1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
11,2.00000E+02,-1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.54005E-11,1.44200E-01
13,-1.00000E+02,0.00000E+00,0.00000E+00,4.88109E-10,4.06000E-02
14,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
15,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
16,-2.00000E+02,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
17,-1.00000E+02,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
18,0.00000E+00,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
19,1.00000E+02,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
20,2.00000E+02,1.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
21,-2.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
22,-1.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
