Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.19039E-07,1.10000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,3.59788E-10,1.91000E-02
3,-1.00000E+02,-2.00000E+02,0.00000E+00,3.07182E-09,6.60000E-03
4,0.00000E+00,-2.00000E+02,0.00000E+00,4.75313E-09,5.30000E-03
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.54024E-09,9.10000E-03
6,2.00000E+02,-2.00000E+02,0.00000E+00,1.16697E-10,3.33000E-02
7,-2.00000E+02,-1.00000E+02,0.00000E+00,3.73085E-09,6.00000E-03
8,-1.00000E+02,-1.00000E+02,0.00000E+00,2.74923E-08,2.20000E-03
9,0.00000E+00,-1.00000E+02,0.00000E+00,5.21798E-08,1.60000E-03
10,1.00000E+02,-1.00000E+02,0.00000E+00,2.26701E-08,2.40000E-03
11,2.00000E+02,-1.00000E+02,0.00000E+00,1.97630E-09,8.10000E-03
12,-2.00000E+02,0.00000E+00,0.00000E+00,6.04912E-09,4.70000E-03
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.48689E-08,1.60000E-03
14,1.00000E+02,0.00000E+00,0.00000E+00,5.60915E-08,1.60000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,5.42415E-09,4.90000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,3.59983E-09,6.10000E-03
17,-1.00000E+02,1.00000E+02,0.00000E+00,2.25199E-08,2.40000E-03
18,0.00000E+00,1.00000E+02,0.00000E+00,4.23616E-08,1.80000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,1.98902E-08,2.60000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,2.86616E-09,6.80000E-03
21,-2.00000E+02,2.00000E+02,0.00000E+00,4.96817E-10,1.63000E-02
22,-1.00000E+02,2.00000E+02,0.00000E+00,2.82118E-09,6.90000E-03
23,0.00000E+00,2.00000E+02,0.00000E+00,3.94620E-09,5.80000E-03
24,1.00000E+02,2.00000E+02,0.00000E+00,1.85806E-09,8.50000E-03
25,2.00000E+02,2.00000E+02,0.00000E+00,4.81152E-10,1.66000E-02
26,-7.00000E+02,-7.00000E+02,0.00000E+00,3.18285E-12,2.27300E-01
27,-6.00000E+02,-7.00000E+02,0.00000E+00,2.32307E-10,2.60000E-02
28,-5.00000E+02,-7.00000E+02,0.00000E+00,4.41991E-10,1.85000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,2.22614E-10,2.61000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,5.42769E-12,1.53300E-01
31,-7.00000E+02,-6.00000E+02,0.00000E+00,2.16684E-10,2.68000E-02
32,-6.00000E+02,-6.00000E+02,0.00000E+00,2.01151E-08,2.60000E-03
33,-5.00000E+02,-6.00000E+02,0.00000E+00,4.87998E-08,1.70000E-03
34,-4.00000E+02,-6.00000E+02,0.00000E+00,2.21603E-08,2.50000E-03
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.51670E-10,2.55000E-02
36,-7.00000E+02,-5.00000E+02,0.00000E+00,5.12396E-10,1.73000E-02
37,-6.00000E+02,-5.00000E+02,0.00000E+00,4.93745E-08,1.70000E-03
38,-5.00000E+02,-5.00000E+02,0.00000E+00,1.20561E-07,1.10000E-03
39,-4.00000E+02,-5.00000E+02,0.00000E+00,5.16687E-08,1.60000E-03
40,-3.00000E+02,-5.00000E+02,0.00000E+00,4.96643E-10,1.76000E-02
41,-7.00000E+02,-4.00000E+02,0.00000E+00,2.39273E-10,2.54000E-02
42,-6.00000E+02,-4.00000E+02,0.00000E+00,2.14168E-08,2.50000E-03
43,-5.00000E+02,-4.00000E+02,0.00000E+00,4.75796E-08,1.70000E-03
44,-4.00000E+02,-4.00000E+02,0.00000E+00,2.01180E-08,2.60000E-03
45,-3.00000E+02,-4.00000E+02,0.00000E+00,2.28391E-10,2.60000E-02
46,-7.00000E+02,-3.00000E+02,0.00000E+00,3.49819E-12,1.66200E-01
47,-6.00000E+02,-3.00000E+02,0.00000E+00,2.25230E-10,2.62000E-02
48,-5.00000E+02,-3.00000E+02,0.00000E+00,4.35103E-10,1.90000E-02
49,-4.00000E+02,-3.00000E+02,0.00000E+00,1.59164E-10,3.16000E-02
50,-3.00000E+02,-3.00000E+02,0.00000E+00,2.26199E-12,2.17800E-01
51,-2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
52,-1.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
53,0.00000E+00,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
54,1.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
55,2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
56,-2.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
57,-1.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
58,0.00000E+00,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
59,1.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
60,2.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
61,-2.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
62,-1.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
63,0.00000E+00,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
64,1.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
65,2.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
66,-2.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
67,-1.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
68,0.00000E+00,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
69,1.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
70,2.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
71,-2.00000E+02,-3.00000E+02,0.00000E+00,1.34781E-12,2.57200E-01
72,-1.00000E+02,-3.00000E+02,0.00000E+00,1.04795E-11,1.25000E-01
73,0.00000E+00,-3.00000E+02,0.00000E+00,2.19912E-11,8.38000E-02
74,1.00000E+02,-3.00000E+02,0.00000E+00,5.07845E-12,1.76000E-01
75,2.00000E+02,-3.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
76,3.00000E+02,-7.00000E+02,0.00000E+00,3.67470E-12,1.73200E-01
77,4.00000E+02,-7.00000E+02,0.00000E+00,2.32977E-10,2.59000E-02
78,5.00000E+02,-7.00000E+02,0.00000E+00,5.21204E-10,1.72000E-02
79,6.00000E+02,-7.00000E+02,0.00000E+00,1.91076E-10,2.86000E-02
80,7.00000E+02,-7.00000E+02,0.00000E+00,1.61972E-12,2.22700E-01
81,3.00000E+02,-6.00000E+02,0.00000E+00,2.17238E-10,2.72000E-02
82,4.00000E+02,-6.00000E+02,0.00000E+00,2.06217E-08,2.60000E-03
83,5.00000E+02,-6.00000E+02,0.00000E+00,4.98798E-08,1.60000E-03
84,6.00000E+02,-6.00000E+02,0.00000E+00,2.03800E-08,2.60000E-03
85,7.00000E+02,-6.00000E+02,0.00000E+00,1.80600E-10,2.83000E-02
86,3.00000E+02,-5.00000E+02,0.00000E+00,5.73554E-10,1.64000E-02
87,4.00000E+02,-5.00000E+02,0.00000E+00,4.99347E-08,1.60000E-03
88,5.00000E+02,-5.00000E+02,0.00000E+00,1.21551E-07,1.10000E-03
89,6.00000E+02,-5.00000E+02,0.00000E+00,4.93239E-08,1.70000E-03
90,7.00000E+02,-5.00000E+02,0.00000E+00,4.95347E-10,1.78000E-02
91,3.00000E+02,-4.00000E+02,0.00000E+00,3.11130E-10,2.25000E-02
92,4.00000E+02,-4.00000E+02,0.00000E+00,2.20194E-08,2.50000E-03
93,5.00000E+02,-4.00000E+02,0.00000E+00,4.95058E-08,1.70000E-03
94,6.00000E+02,-4.00000E+02,0.00000E+00,2.02385E-08,2.60000E-03
95,7.00000E+02,-4.00000E+02,0.00000E+00,2.26289E-10,2.58000E-02
96,3.00000E+02,-3.00000E+02,0.00000E+00,2.21774E-12,2.27900E-01
97,4.00000E+02,-3.00000E+02,0.00000E+00,2.26969E-10,2.59000E-02
98,5.00000E+02,-3.00000E+02,0.00000E+00,5.24608E-10,1.72000E-02
99,6.00000E+02,-3.00000E+02,0.00000E+00,1.86150E-10,2.86000E-02
100,7.00000E+02,-3.00000E+02,0.00000E+00,2.39754E-12,2.09800E-01
101,-7.00000E+02,-2.00000E+02,0.00000E+00,2.37965E-12,2.31100E-01
102,-6.00000E+02,-2.00000E+02,0.00000E+00,2.18668E-10,2.64000E-02
103,-5.00000E+02,-2.00000E+02,0.00000E+00,4.78568E-10,1.83000E-02
104,-4.00000E+02,-2.00000E+02,0.00000E+00,2.19967E-10,2.65000E-02
105,-3.00000E+02,-2.00000E+02,0.00000E+00,5.34703E-12,1.56300E-01
106,-7.00000E+02,-1.00000E+02,0.00000E+00,2.13595E-10,2.76000E-02
107,-6.00000E+02,-1.00000E+02,0.00000E+00,2.23327E-08,2.50000E-03
108,-5.00000E+02,-1.00000E+02,0.00000E+00,4.78618E-08,1.70000E-03
109,-4.00000E+02,-1.00000E+02,0.00000E+00,1.93693E-08,2.60000E-03
110,-3.00000E+02,-1.00000E+02,0.00000E+00,2.09026E-10,2.67000E-02
111,-7.00000E+02,0.00000E+00,0.00000E+00,4.89799E-10,1.81000E-02
112,-6.00000E+02,0.00000E+00,0.00000E+00,4.98489E-08,1.60000E-03
113,-5.00000E+02,0.00000E+00,0.00000E+00,1.20419E-07,1.10000E-03
114,-4.00000E+02,0.00000E+00,0.00000E+00,4.44227E-08,1.70000E-03
115,-3.00000E+02,0.00000E+00,0.00000E+00,4.86064E-10,1.78000E-02
116,-7.00000E+02,1.00000E+02,0.00000E+00,1.82098E-10,2.89000E-02
117,-6.00000E+02,1.00000E+02,0.00000E+00,1.93210E-08,2.60000E-03
118,-5.00000E+02,1.00000E+02,0.00000E+00,4.90384E-08,1.70000E-03
119,-4.00000E+02,1.00000E+02,0.00000E+00,1.90239E-08,2.70000E-03
120,-3.00000E+02,1.00000E+02,0.00000E+00,2.31084E-10,2.57000E-02
121,-7.00000E+02,2.00000E+02,0.00000E+00,2.37653E-12,2.21900E-01
122,-6.00000E+02,2.00000E+02,0.00000E+00,2.07493E-10,2.76000E-02
123,-5.00000E+02,2.00000E+02,0.00000E+00,5.07516E-10,1.74000E-02
124,-4.00000E+02,2.00000E+02,0.00000E+00,1.98150E-10,2.79000E-02
125,-3.00000E+02,2.00000E+02,0.00000E+00,7.91741E-12,1.23800E-01
126,3.00000E+02,-2.00000E+02,0.00000E+00,4.19206E-12,1.79000E-01
127,4.00000E+02,-2.00000E+02,0.00000E+00,2.81992E-10,2.33000E-02
128,5.00000E+02,-2.00000E+02,0.00000E+00,5.64585E-10,1.66000E-02
129,6.00000E+02,-2.00000E+02,0.00000E+00,1.77463E-10,2.93000E-02
130,7.00000E+02,-2.00000E+02,0.00000E+00,7.43231E-13,3.30500E-01
131,3.00000E+02,-1.00000E+02,0.00000E+00,2.83739E-10,2.30000E-02
132,4.00000E+02,-1.00000E+02,0.00000E+00,2.33911E-08,2.40000E-03
133,5.00000E+02,-1.00000E+02,0.00000E+00,5.03799E-08,1.60000E-03
134,6.00000E+02,-1.00000E+02,0.00000E+00,1.87360E-08,2.70000E-03
135,7.00000E+02,-1.00000E+02,0.00000E+00,1.76551E-10,2.95000E-02
136,3.00000E+02,0.00000E+00,0.00000E+00,4.95524E-10,1.74000E-02
