Cell Number,X,Y,Z,Cell Flux,Standard Deviation
64,1.00000E+02,-5.00000E+02,0.00000E+00,1.51061E-09,2.70000E-03
65,2.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
66,-2.00000E+02,-4.00000E+02,0.00000E+00,4.23569E-13,1.26300E-01
67,-1.00000E+02,-4.00000E+02,0.00000E+00,1.86887E-10,7.20000E-03
68,0.00000E+00,-4.00000E+02,0.00000E+00,2.99383E-09,1.90000E-03
69,1.00000E+02,-4.00000E+02,0.00000E+00,4.02327E-10,4.90000E-03
70,2.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
71,-2.00000E+02,-3.00000E+02,0.00000E+00,6.11356E-13,1.06300E-01
72,-1.00000E+02,-3.00000E+02,0.00000E+00,1.75349E-11,2.58000E-02
73,0.00000E+00,-3.00000E+02,0.00000E+00,3.08422E-11,1.92000E-02
74,1.00000E+02,-3.00000E+02,0.00000E+00,7.09339E-12,3.78000E-02
75,2.00000E+02,-3.00000E+02,0.00000E+00,3.55890E-13,1.90800E-01
76,3.00000E+02,-7.00000E+02,0.00000E+00,4.37209E-13,1.31600E-01
77,4.00000E+02,-7.00000E+02,0.00000E+00,2.45413E-11,2.15000E-02
78,5.00000E+02,-7.00000E+02,0.00000E+00,6.53750E-11,1.31000E-02
79,6.00000E+02,-7.00000E+02,0.00000E+00,3.21735E-11,1.91000E-02
80,7.00000E+02,-7.00000E+02,0.00000E+00,1.06183E-13,1.86400E-01
81,3.00000E+02,-6.00000E+02,0.00000E+00,1.64571E-11,2.57000E-02
82,4.00000E+02,-6.00000E+02,0.00000E+00,3.67724E-09,2.30000E-03
83,5.00000E+02,-6.00000E+02,0.00000E+00,9.40212E-09,1.50000E-03
84,6.00000E+02,-6.00000E+02,0.00000E+00,4.98010E-09,2.00000E-03
85,7.00000E+02,-6.00000E+02,0.00000E+00,2.32464E-11,2.15000E-02
86,3.00000E+02,-5.00000E+02,0.00000E+00,1.92783E-11,2.33000E-02
87,4.00000E+02,-5.00000E+02,0.00000E+00,4.07596E-09,2.20000E-03
88,5.00000E+02,-5.00000E+02,0.00000E+00,1.20846E-08,1.30000E-03
89,6.00000E+02,-5.00000E+02,0.00000E+00,7.15303E-09,1.70000E-03
90,7.00000E+02,-5.00000E+02,0.00000E+00,4.11587E-11,1.64000E-02
91,3.00000E+02,-4.00000E+02,0.00000E+00,3.78592E-12,4.89000E-02
92,4.00000E+02,-4.00000E+02,0.00000E+00,5.98334E-10,5.40000E-03
93,5.00000E+02,-4.00000E+02,0.00000E+00,2.88500E-09,2.60000E-03
94,6.00000E+02,-4.00000E+02,0.00000E+00,1.86272E-09,3.20000E-03
95,7.00000E+02,-4.00000E+02,0.00000E+00,1.09120E-11,2.96000E-02
96,3.00000E+02,-3.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
97,4.00000E+02,-3.00000E+02,0.00000E+00,3.21099E-12,5.96000E-02
98,5.00000E+02,-3.00000E+02,0.00000E+00,1.08916E-11,3.42000E-02
99,6.00000E+02,-3.00000E+02,0.00000E+00,2.90468E-12,5.74000E-02
100,7.00000E+02,-3.00000E+02,0.00000E+00,3.01094E-14,4.38400E-01
101,-7.00000E+02,-2.00000E+02,0.00000E+00,5.43872E-14,2.76400E-01
102,-6.00000E+02,-2.00000E+02,0.00000E+00,3.46874E-12,5.84000E-02
103,-5.00000E+02,-2.00000E+02,0.00000E+00,1.74354E-11,2.44000E-02
104,-4.00000E+02,-2.00000E+02,0.00000E+00,1.51138E-11,2.82000E-02
105,-3.00000E+02,-2.00000E+02,0.00000E+00,1.93923E-12,9.34000E-02
106,-7.00000E+02,-1.00000E+02,0.00000E+00,9.48495E-12,3.46000E-02
107,-6.00000E+02,-1.00000E+02,0.00000E+00,6.43786E-10,5.20000E-03
108,-5.00000E+02,-1.00000E+02,0.00000E+00,3.27541E-09,2.40000E-03
109,-4.00000E+02,-1.00000E+02,0.00000E+00,2.39331E-09,2.90000E-03
110,-3.00000E+02,-1.00000E+02,0.00000E+00,1.65726E-11,2.61000E-02
111,-7.00000E+02,0.00000E+00,0.00000E+00,1.25892E-11,3.16000E-02
112,-6.00000E+02,0.00000E+00,0.00000E+00,2.28787E-09,2.90000E-03
113,-5.00000E+02,0.00000E+00,0.00000E+00,9.81184E-09,1.40000E-03
114,-4.00000E+02,0.00000E+00,0.00000E+00,5.59866E-09,1.90000E-03
115,-3.00000E+02,0.00000E+00,0.00000E+00,4.79127E-11,1.54000E-02
116,-7.00000E+02,1.00000E+02,0.00000E+00,5.60007E-12,4.14000E-02
117,-6.00000E+02,1.00000E+02,0.00000E+00,1.19072E-09,4.10000E-03
118,-5.00000E+02,1.00000E+02,0.00000E+00,4.36508E-09,2.10000E-03
119,-4.00000E+02,1.00000E+02,0.00000E+00,4.24742E-09,2.20000E-03
120,-3.00000E+02,1.00000E+02,0.00000E+00,4.14636E-11,1.63000E-02
121,-7.00000E+02,2.00000E+02,0.00000E+00,7.76940E-14,3.04300E-01
122,-6.00000E+02,2.00000E+02,0.00000E+00,4.69968E-12,4.70000E-02
123,-5.00000E+02,2.00000E+02,0.00000E+00,1.93807E-11,2.38000E-02
124,-4.00000E+02,2.00000E+02,0.00000E+00,1.87877E-11,2.33000E-02
125,-3.00000E+02,2.00000E+02,0.00000E+00,4.85849E-13,1.09000E-01
126,3.00000E+02,-2.00000E+02,0.00000E+00,2.44803E-13,1.56200E-01
127,4.00000E+02,-2.00000E+02,0.00000E+00,1.30580E-11,3.06000E-02
128,5.00000E+02,-2.00000E+02,0.00000E+00,9.15330E-12,3.27000E-02
129,6.00000E+02,-2.00000E+02,0.00000E+00,1.20670E-11,2.79000E-02
130,7.00000E+02,-2.00000E+02,0.00000E+00,1.88421E-13,1.54100E-01
131,3.00000E+02,-1.00000E+02,0.00000E+00,7.23135E-12,3.84000E-02
132,4.00000E+02,-1.00000E+02,0.00000E+00,1.07144E-09,4.30000E-03
133,5.00000E+02,-1.00000E+02,0.00000E+00,2.94940E-09,2.60000E-03
134,6.00000E+02,-1.00000E+02,0.00000E+00,2.80476E-09,2.70000E-03
135,7.00000E+02,-1.00000E+02,0.00000E+00,1.58560E-11,2.81000E-02
136,3.00000E+02,0.00000E+00,0.00000E+00,9.40561E-12,3.38000E-02
137,4.00000E+02,0.00000E+00,0.00000E+00,8.16652E-10,4.60000E-03
138,5.00000E+02,0.00000E+00,0.00000E+00,6.95353E-09,1.70000E-03
139,6.00000E+02,0.00000E+00,0.00000E+00,5.21258E-09,1.90000E-03
140,7.00000E+02,0.00000E+00,0.00000E+00,3.79848E-11,1.77000E-02
141,3.00000E+02,1.00000E+02,0.00000E+00,1.07002E-11,3.29000E-02
142,4.00000E+02,1.00000E+02,0.00000E+00,5.99097E-10,5.40000E-03
143,5.00000E+02,1.00000E+02,0.00000E+00,4.05194E-09,2.20000E-03
144,6.00000E+02,1.00000E+02,0.00000E+00,2.94663E-09,2.60000E-03
145,7.00000E+02,1.00000E+02,0.00000E+00,1.85555E-11,2.43000E-02
146,3.00000E+02,2.00000E+02,0.00000E+00,6.29080E-12,4.26000E-02
147,4.00000E+02,2.00000E+02,0.00000E+00,4.55342E-12,5.09000E-02
